"platform","page/stage","text"
"desktop","Start contacting","These prompts apply to everyone in this phonebank."
"desktop","Start contacting","Back to messages"
"desktop","Start contacting","Back to notes & reportbacks"
"desktop","Extra channels modal","Add Signal and Telegram"
"desktop","Extra channels modal","This adds Signal and Telegram buttons beside WhatsApp and SMS. Signal does not support pre-filled messages, so clicking Signal will copy the message to your clipboard and then open the chat with the contact's number."
"desktop","Extra channels modal","Telegram will open the contact by phone number where supported by the app."
"desktop","Extra channels modal","Cancel"
"desktop","Extra channels modal","Enable"
"both","Message links","Message contact"
"both","Message links","WhatsApp"
"both","Message links","SMS"
"both","Message links","Signal"
"both","Message links","Telegram"
"both","Message links","Copy message text"
"desktop","Transfer modal","Send from your phone"
"desktop","Transfer modal","This prepares the phonebank so it can be opened on a mobile: contacts, messages and any organiser options you have added."
"desktop","Transfer modal","Hosting mode is on. Each participant should use only their own QR code or link, then you move to the next participant."
"desktop","Transfer modal","Open the link on your phone, or scan the QR code with your phone's normal camera."
"desktop","Transfer modal","The link can be sent to yourself or a participant by WhatsApp, Signal, email, notes, or any other app you use across devices."
"desktop","Transfer modal","Both methods open the same phonebank on mobile. Anyone with the QR code or full link can open it, so only share it with people taking part."
"desktop","Transfer modal","Previous participant"
"desktop","Transfer modal","Next participant"
"desktop","Transfer modal","Once one participant has imported their data, move to the next participant."
"desktop","Transfer modal","Share a unique link"
"desktop","Transfer modal","Copy this link and send it somewhere you can open on your phone. When opened, it loads this phonebank on mobile."
"desktop","Transfer modal","Preparing link"
"desktop","Transfer modal","Link [number] of [total]"
"desktop","Transfer modal","Contains [count]/[total] contacts"
"desktop","Transfer modal","Contains [count]/[total] contacts for this participant"
"desktop","Transfer modal","Copy"
"desktop","Transfer modal","Link copied."
"desktop","Transfer modal","Link [number] copied."
"desktop","Transfer modal","Copy failed. Select and copy the link manually."
"desktop","Transfer modal","Scan the QR code"
"desktop","Transfer modal","Use the phone's normal camera app. It will open the mobile phonebank automatically."
"desktop","Transfer modal","Transfer QR code"
"desktop","Transfer modal","Transfer QR code [number]"
"desktop","Transfer modal","Generating QR codes..."
"desktop","Transfer modal","Prev link"
"desktop","Transfer modal","Next link"
"desktop","Transfer modal","QR [number] of [total]"
"desktop","Transfer modal","This transfer is too large to fit cleanly in a QR code. Try copying the link below, or shorten the message templates."
"desktop","Transfer modal","The templates alone make the link too long. Shorten the templates or use QR transfer instead."
"desktop","Transfer modal","This phonebank is too large for one compact link, so the contacts have been split into batches. Each link includes all templates and only the contacts shown for that batch."
"desktop","Product tour","Stage 1 of 3"
"desktop","Product tour","Stage 2 of 3"
"desktop","Product tour","Stage 3 of 3"
"desktop","Product tour","Stage 1 of 4"
"desktop","Product tour","Stage 2 of 4"
"desktop","Product tour","Stage 3 of 4"
"desktop","Product tour","Stage 4 of 4"
"desktop","Product tour","Import your contacts"
"desktop","Product tour","Copy and paste in names and phone numbers for your contacts."
"desktop","Product tour","Write your messages"
"desktop","Product tour","Create template messages to send to contacts, over WhatsApp, SMS, Signal or Telegram. You can create multiple templates - for example, one for people you get through to, and one for people who don't pick up."
"desktop","Product tour","Start contacting"
"desktop","Product tour","Send the data to your phone and start calling and texting! You can also send messages from your browser if you'd prefer."
"desktop","Product tour","Optional organiser tools"
"desktop","Product tour","Need more options?"
"desktop","Product tour","Organiser Mode allows you to add prompts, talking points or context for phonebankers, or enable reportbacks so participants can send you outcomes back at the end of a session."
"both","Product tour controls","Skip product tour"
"both","Product tour controls","Back"
"both","Product tour controls","Next"
"both","Product tour controls","Done"
"desktop","Help drawer","QUICK GUIDE"
"desktop","Help drawer","REACHOUT helps you turn contact lists and message templates into quick WhatsApp and SMS links - useful for follow-ups, mobilisation, turnout, and supporter care."
"desktop","Help drawer","1. Add Contacts"
"desktop","Help drawer","Paste names and phone numbers from a spreadsheet, notes app, or contact list. One person per line works best."
"desktop","Help drawer","EXAMPLE FORMAT:"
"desktop","Help drawer","Sandy Mills, +44 7712 345678"
"desktop","Help drawer","Mia Benson, +44 7345 678901"
"desktop","Help drawer","Jake Woods, +44 3461 234567"
"desktop","Help drawer","Include both a name and phone number on each line."
"desktop","Help drawer","Use international prefixes like +44 for WhatsApp links."
"desktop","Help drawer","Prioritise people with a clear reason to be contacted - recent sign-ups, local members, event attendees, or people who have already shown interest."
"desktop","Help drawer","2. Write Messages"
"desktop","Help drawer","Good organising messages are personal, specific, and clear about what you are asking someone to do."
"desktop","Help drawer","Use {FIRSTNAME} to personalise each message."
"desktop","Help drawer","Keep it short enough to feel like something you would genuinely send yourself."
"desktop","Help drawer","Lead with context: why this person, why now, and why it matters."
"desktop","Help drawer","Use a clear ask. A soft ask is low-commitment, like ""Can I send you the details?"" or ""Are you interested?"""
"desktop","Help drawer","A hard ask is more direct, like ""Can you come on Thursday at 7?"" or ""Will you call your MSP today?"""
"desktop","Help drawer","For warm contacts, move towards a hard ask. For colder contacts, start with a soft ask and build from there."
"desktop","Help drawer","WhatsApp supports simple formatting like *bold* and _italics_; SMS will be sent as plain text."
"desktop","Help drawer","3. Phonebanking Tips"
"desktop","Help drawer","The aim is not just to pass on information - it is to move someone one step further into action."
"desktop","Help drawer","Say who you are, where you are calling from, and why you are calling in the first sentence."
"desktop","Help drawer","Start with a question, not a speech. Listen for what they care about before giving details."
"desktop","Help drawer","Match the ask to the person. New or unsure supporters may need a soft ask; committed supporters should get a clear hard ask."
"desktop","Help drawer","Always offer a concrete next step: RSVP, attend a meeting, make a call, share a link, take a shift, or expect a follow-up."
"desktop","Help drawer","If they say yes, confirm the details and send them immediately by text."
"desktop","Help drawer","If they are unsure, ask what would make it easier for them to take part."
"desktop","Help drawer","If they cannot talk, offer to text the key information or arrange a better time."
"desktop","Help drawer","Got it"
"desktop","Organiser mode modal","Call notes and reportbacks"
"desktop","Organiser mode modal","Organiser Mode adds an extra setup stage before sharing the phonebank."
"desktop","Organiser mode modal","Call notes let you give phonebankers prompts, talking points or local context alongside each contact."
"desktop","Organiser mode modal","Reportbacks let phonebankers record outcomes and send you a summary at the end of a session."
"desktop","Organiser mode modal","Got it"
"desktop","Reportback number modal","Add your number first"
"desktop","Reportback number modal","Reportbacks are enabled, but there is no phone number for people to send their reports to. Add your number before moving on."
"desktop","Reportback number modal","Back to reportback settings"
"both","FAQ","FAQ"
"both","FAQ","FREQUENTLY ASKED QUESTIONS"
"both","FAQ","Placeholder answers for now. This page is ready for proper copy once the questions are final."
"both","FAQ","Back to REACHOUT"
"both","FAQ","What is REACHOUT for?"
"both","FAQ","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer posuere erat a ante venenatis dapibus."
"both","FAQ","How do I send a phonebank to my phone?"
"both","FAQ","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent commodo cursus magna, vel scelerisque nisl consectetur."
"both","FAQ","Can I use reportbacks with a group?"
"both","FAQ","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec ullamcorper nulla non metus auctor fringilla."
"both","FAQ","What happens to my contact data?"
"both","FAQ","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean lacinia bibendum nulla sed consectetur."
"mobile","Mobile header","REACHOUT"
"mobile","Mobile header","by TenantAct"
"mobile","Mobile header","Open product tour"
"mobile","Mobile header","Switch to light mode"
"mobile","Mobile header","Switch to dark mode"
"mobile","Mobile nav","Phonebank"
"mobile","Mobile nav","Contacts"
"mobile","Mobile nav","Templates"
"mobile","Mobile nav","Scan data"
"mobile","Mobile product tour","Step 1 of 4"
"mobile","Mobile product tour","Start contacting"
"mobile","Mobile product tour","Your contacts are already loaded, so you can start calling and texting from the phonebank deck right away."
"mobile","Mobile product tour","Step 2 of 4"
"mobile","Mobile product tour","Check your contacts"
"mobile","Mobile product tour","Use Contacts to browse the list, fix a number or remove someone before you start working through the phonebank."
"mobile","Mobile product tour","Step 3 of 4"
"mobile","Mobile product tour","Write your messages"
"mobile","Mobile product tour","Use Templates to create messages to send to contacts, over WhatsApp, SMS, Signal or Telegram. You can create multiple templates - for example, one for people you get through to, and one for people who don't pick up."
"mobile","Mobile product tour","Step 4 of 4"
"mobile","Mobile product tour","Import or refresh data"
"mobile","Mobile product tour","If you need to load a new list, use Scan data to pull contacts and templates from desktop."
"mobile","Example data toast","Example data"
"mobile","Example data toast","These contacts and templates are here to demo the tool. Scan data or open a transfer link to load your real setup."
"mobile","Exit confirmation","Leaving REACHOUT?"
"mobile","Exit confirmation","Are you sure you're finished?"
"mobile","Exit confirmation","If you close this tab, you may lose where you were in this phonebank."
"mobile","Exit confirmation","Stay here"
"mobile","Exit confirmation","I'm finished"
"mobile","Phonebank intro","Phonebank ready"
"mobile","Phonebank intro","You're ready to start"
"mobile","Phonebank intro","Work through the contacts one at a time. Use the buttons on each card to call people or send the template messages that have been loaded."
"mobile","Phonebank intro","[count] contacts loaded"
"mobile","Phonebank intro","[count] message templates"
"mobile","Phonebank intro","Reportback enabled"
"mobile","Phonebank intro","The Call button opens your phone dialler."
"mobile","Phonebank intro","Use Set up if you want to change the templates first."
"mobile","Phonebank intro","Read the FAQ"
"mobile","Phonebank deck","No contacts"
"mobile","Phonebank deck","Prev"
"mobile","Phonebank deck","Next"
"mobile","Phonebank deck","Complete the required reportback questions before moving to the next contact."
"mobile","Phonebank finished","You're finished"
"mobile","Phonebank finished","You've reached the end of this phonebank. Nice one. You can go back through contacts if you need to copy a number or send another message."
"mobile","Contact card","Call"
"mobile","Contact card","Talking point reminders:"
"mobile","Contact card","Message contact"
"mobile","Contact card","Use this to record what happened after this contact. Your answers will be included in the report at the end."
"mobile","Contact card","Report back"
"mobile","Contact card","Report back -  required"
"mobile","Contact report form","Close"
"mobile","Contact report form","Contact report"
"mobile","Contact report form","Required before moving on"
"mobile","Contact report form","Yes"
"mobile","Contact report form","No"
"mobile","Contact report form","Note anything worth following up here"
"mobile","Contact report form","No reportback questions set."
"mobile","Contacts manager","Contacts"
"mobile","Contacts manager","Browse, edit or remove contacts before you start phonebanking."
"mobile","Contacts manager","No contacts loaded"
"mobile","Contacts manager","Use Scan data to import a list."
"mobile","Contacts manager","Name"
"mobile","Contacts manager","Phone"
"mobile","Contacts manager","Save contact"
"mobile","Contacts manager","Cancel editing"
"mobile","Contacts manager","Edit [contact name]"
"mobile","Contacts manager","Delete [contact name]"
"mobile","Templates","Edit Templates"
"mobile","Templates","Add"
"mobile","Templates","Signal / Telegram enabled"
"mobile","Templates","Add Signal / Telegram"
"mobile","Templates","New Template"
"mobile","Templates","Remove template"
"mobile","Templates modal","Add Signal and Telegram"
"mobile","Templates modal","This adds Signal and Telegram as contact options. Signal does not allow pre-filled messages, so tapping Signal will copy the message to your clipboard and open the chat with the contact."
"mobile","Templates modal","Telegram will open the contact by phone number where supported by the app."
"mobile","Templates modal","Cancel"
"mobile","Templates modal","Enable"
"mobile","Scan data","Scan data"
"mobile","Scan data","Use this phone to scan the QR code shown on desktop."
"mobile","Scan data","How to scan"
"mobile","Scan data","Keep the QR window open on the desktop. Tap Start scanning below. Your browser may ask for camera access: choose Allow, then point the back camera at the desktop QR code until the import completes."
"mobile","Scan data","If you opened this page by scanning a QR code with your normal camera app, that first code has already been counted."
"mobile","Scan data","Start scanning"
"mobile","Scan data","Stop scanning"
"mobile","Scan data","Starting camera"
"mobile","Scan data","If asked, allow camera access."
"mobile","Scan data","Ready to scan QR codes from desktop."
"mobile","Scan data","Starting the back camera..."
"mobile","Scan data","Finding an available back camera..."
"mobile","Scan data","Camera ready. Point it at the QR code."
"mobile","Scan data","No camera found on this device."
"mobile","Scan data","Could not start the camera. Check camera permission and try again."
"mobile","Scan data","That QR code is not REACHOUT transfer data."
"mobile","Scan data","First QR captured. Tap Start scanning, allow camera access, then keep scanning until you reach [total] of [total]."
"mobile","Scan data","Scanned [count] of [total] QR codes."
"mobile","Scan data","All data imported."
"mobile","Scan success","Phonebank imported"
"mobile","Scan success","Loaded [count] contacts and [count] message templates[, with reportbacks enabled]."
"mobile","Scan success","Opening contacts..."
"mobile","Mobile reportback send","REACHOUT reportback"
"mobile","Mobile reportback send","not recorded"
"mobile","Mobile reportback send","date not recorded"
"mobile","Mobile reportback send","Name"
"mobile","Mobile reportback send","Phone"
"mobile","Mobile reportback send","Date"
"mobile","Mobile reportback send","You're finished - now report back"
"mobile","Mobile reportback send","Send your organiser a summary of how your calls went using the buttons below - just click and send."
"mobile","Mobile reportback send","WhatsApp report"
"mobile","Mobile reportback send","SMS report"
"mobile","Mobile reportback send","Copy full report"
"both","Default reportback questions","Did they pick up?"
"both","Default reportback questions","Notes"
"both","Example call notes","Remind them about the branch meeting next Thursday."
"both","Example call notes","Ask whether they have any current rent or repairs issues."
"both","Example call notes","Check if they would be up for taking one small action this week."
"both","Mock contacts","Sandy Mills"
"both","Mock contacts","Mia Benson"
"both","Mock contacts","Jake Woods"
"both","Mock contacts","Lila Harper"
"both","Mock contacts","Gabe Tucker"
"both","Mock templates","Follow up"
"both","Mock templates","Hey {FIRSTNAME} - great to chat. Here are the details about that action..."
"both","Mock templates","No answer"
"both","Mock templates","Hey {FIRSTNAME}! I'm getting in touch from Living Rent. I was just phoning to tell you about this action we've got coming up..."
"both","Mock script bullets","Greet and introduce yourself as a tenant union organizer."
"both","Mock script bullets","Invite them to the rogue landlord debrief campaign."
"both","Mock script bullets","Confirm details (Friday, Strathmore Bar back room)."
"both","Mock script bullets","Ask if they need transport or have access requirements."
"both","Mock script bullets","Thank them and confirm they are saved on the attendee tracker."
